Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 4.040567, 3.348595, 4.984158, 3.541241, -7.467787, -10.203953, 5.615444, 
20, 4.094311, 3.307290, 5.051941, 3.389172, -7.603434, -6.782345, 5.640853, 
20, 4.146639, 3.269209, 5.116659, 3.235887, -7.664261, -3.041335, 5.667770, 
20, 4.197476, 3.234317, 5.178318, 3.082951, -7.646783, 0.873892, 5.696028, 
20, 4.246759, 3.202543, 5.236956, 2.931923, -7.551420, 4.768128, 5.725429, 
20, 4.294441, 3.173779, 5.292641, 2.784258, -7.383262, 8.407916, 5.755745, 
20, 4.340488, 3.147894, 5.345466, 2.641210, -7.152401, 11.543066, 5.786721, 
20, 4.384882, 3.124728, 5.395540, 2.503736, -6.873681, 13.935976, 5.818086, 
20, 4.427617, 3.104111, 5.442989, 2.372420, -6.565797, 15.394210, 5.849553, 
20, 4.468693, 3.085861, 5.487937, 2.247424, -6.249802, 15.799747, 5.880835, 
20, 4.508114, 3.069793, 5.530507, 2.128479, -5.947238, 15.128183, 5.911649, 
20, 4.545878, 3.055727, 5.570805, 2.014916, -5.678177, 13.453080, 5.941724, 
20, 4.582001, 3.043476, 5.608949, 1.907204, -5.385589, 14.629364, 5.970837, 
20, 4.616531, 3.032856, 5.645075, 1.806275, -5.046465, 16.956228, 5.998820, 
20, 4.649510, 3.023693, 5.679304, 1.711460, -4.740763, 15.285084, 6.025550, 
20, 4.680970, 3.015829, 5.711731, 1.621379, -4.504015, 11.837432, 6.050929, 
20, 4.710924, 3.009123, 5.742427, 1.534759, -4.331003, 8.650584, 6.074888, 
20, 4.739372, 3.003444, 5.771436, 1.450465, -4.214728, 5.813726, 6.097378, 
20, 4.766303, 2.998674, 5.798786, 1.367521, -4.147197, 3.376557, 6.118373, 
20, 4.791697, 2.994705, 5.824489, 1.285119, -4.120091, 1.355312, 6.137860, 
20, 4.815526, 2.991436, 5.848541, 1.202613, -4.125286, -0.259741, 6.155843, 
20, 4.837758, 2.988776, 5.870931, 1.119509, -4.155212, -1.496290, 6.172332, 
20, 4.858356, 2.986641, 5.891640, 1.035448, -4.203068, -2.392838, 6.187349, 
20, 4.877285, 2.984951, 5.910644, 0.950189, -4.262930, -2.993106, 6.200917, 
20, 4.894537, 2.983634, 5.927947, 0.865134, -4.252768, 0.508131, 6.213085, 
20, 4.910156, 2.982623, 5.943598, 0.782594, -4.127006, 6.288068, 6.223934, 
20, 4.924205, 2.981857, 5.957667, 0.703446, -3.957379, 8.481398, 6.233554, 
20, 4.936748, 2.981288, 5.970224, 0.627829, -3.780839, 8.826976, 6.242034, 
20, 4.947858, 2.980872, 5.981342, 0.555897, -3.596614, 9.211231, 6.249457, 
20, 4.957610, 2.980574, 5.991098, 0.487807, -3.404493, 9.606092, 6.255904, 
20, 4.966082, 2.980366, 5.999572, 0.423714, -3.204663, 9.991484, 6.261452, 
20, 4.973356, 2.980226, 6.006848, 0.363762, -2.997586, 10.353867, 6.266178, 
20, 4.979517, 2.980133, 6.013009, 0.308084, -2.783896, 10.684456, 6.270153, 
20, 4.984652, 2.980075, 6.018145, 0.256797, -2.564331, 10.978246, 6.273447, 
20, 4.988852, 2.980039, 6.022345, 0.210004, -2.339672, 11.232971, 6.276128, 
20, 4.992208, 2.980019, 6.025701, 0.167790, -2.110704, 11.448378, 6.278261, 
20, 4.994812, 2.980008, 6.028306, 0.130226, -1.878190, 11.625741, 6.279911, 
20, 4.996760, 2.980003, 6.030253, 0.097369, -1.642840, 11.767488, 6.281142, 
20, 4.998145, 2.980001, 6.031638, 0.069263, -1.405306, 11.876695, 6.282017, 
20, 4.999064, 2.980000, 6.032557, 0.045940, -1.166162, 11.957192, 6.282596, 
20, 4.999612, 2.980000, 6.033105, 0.027422, -0.925901, 12.013047, 6.282941, 
20, 4.999887, 2.980000, 6.033380, 0.013723, -0.684929, 12.048638, 6.283114, 
20, 4.999984, 2.980000, 6.033477, 0.004852, -0.443557, 12.068570, 6.283175, 
20, 5.000000, 2.980000, 6.033493, 0.000812, -0.202008, 12.077471, 0.000000, 
20, 5.000000, 2.980000, 6.033493, 0.000000, -0.040606, 8.070107, 0.000000, 
