Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 3.454378, 7.339879, 4.304166, 5.382714, 2.379265, 1.926309, 0.761028, 
20, 3.533358, 7.414452, 4.412789, 5.431146, 2.421594, 2.116453, 0.752229, 
20, 3.613752, 7.488958, 4.522399, 5.480487, 2.467065, 2.273526, 0.742422, 
20, 3.695655, 7.563306, 4.633015, 5.530785, 2.514858, 2.389657, 0.731589, 
20, 3.779164, 7.637400, 4.744656, 5.582064, 2.563972, 2.455722, 0.719710, 
20, 3.864378, 7.711136, 4.857343, 5.634328, 2.613197, 2.461258, 0.706764, 
20, 3.951392, 7.784401, 4.971094, 5.687550, 2.661088, 2.394527, 0.692731, 
20, 4.040303, 7.857075, 5.085927, 5.741668, 2.705940, 2.242633, 0.677594, 
20, 4.131206, 7.929026, 5.201859, 5.796584, 2.745777, 1.991807, 0.661336, 
20, 4.224189, 8.000112, 5.318902, 5.852151, 2.778334, 1.627859, 0.643943, 
20, 4.319336, 8.070181, 5.437065, 5.908172, 2.801071, 1.136861, 0.625407, 
20, 4.416723, 8.139068, 5.556353, 5.964396, 2.811194, 0.506141, 0.605724, 
20, 4.516414, 8.206597, 5.676763, 6.020510, 2.805702, -0.274568, 0.584895, 
20, 4.618462, 8.272583, 5.798286, 6.076139, 2.781470, -1.211602, 0.562930, 
20, 4.722901, 8.336826, 5.920903, 6.130847, 2.735358, -2.305614, 0.539849, 
20, 4.829613, 8.399043, 6.044427, 6.176224, 2.268880, -23.323897, 0.515712, 
20, 4.938272, 8.458861, 6.168464, 6.201836, 1.280571, -49.415456, 0.490634, 
20, 5.048475, 8.515921, 6.292562, 6.204911, 0.153782, -56.339432, 0.464763, 
20, 5.159765, 8.569896, 6.416250, 6.184389, -1.026134, -58.995836, 0.438265, 
20, 5.271636, 8.620506, 6.539037, 6.139352, -2.251814, -61.283962, 0.411328, 
20, 5.383541, 8.667526, 6.660419, 6.069086, -3.513316, -63.075117, 0.384152, 
20, 5.494893, 8.710791, 6.779881, 5.973113, -4.798666, -64.267494, 0.356947, 
20, 5.605083, 8.750199, 6.896906, 5.851220, -6.094648, -64.799110, 0.329930, 
20, 5.713481, 8.785717, 7.010975, 5.703464, -7.387781, -64.656668, 0.303313, 
20, 5.819456, 8.817379, 7.121578, 5.530157, -8.665331, -63.877491, 0.277305, 
20, 5.922378, 8.845278, 7.228215, 5.331833, -9.916234, -62.545162, 0.252102, 
20, 6.021633, 8.869568, 7.330399, 5.109196, -11.131816, -60.779070, 0.227887, 
20, 6.116627, 8.890447, 7.427660, 4.863072, -12.306216, -58.719986, 0.204824, 
20, 6.206954, 8.908186, 7.519713, 4.602632, -13.022013, -35.789890, 0.183022, 
20, 6.292437, 8.923103, 7.606487, 4.338731, -13.195066, -8.652631, 0.162524, 
20, 6.372963, 8.935515, 7.687964, 4.073816, -13.245719, -2.532677, 0.143351, 
20, 6.448445, 8.945723, 7.764133, 3.808491, -13.266265, -1.027271, 0.125512, 
20, 6.518823, 8.954013, 7.834998, 3.543239, -13.262584, 0.184042, 0.109004, 
20, 6.584055, 8.960651, 7.900567, 3.278436, -13.240154, 1.121501, 0.093820, 
20, 6.644115, 8.965881, 7.960854, 3.014358, -13.203914, 1.812006, 0.079943, 
20, 6.698990, 8.969930, 8.015878, 2.751194, -13.158206, 2.285399, 0.067355, 
20, 6.748676, 8.972999, 8.065659, 2.489058, -13.106762, 2.572209, 0.056036, 
20, 6.793179, 8.975270, 8.110219, 2.228004, -13.052729, 2.701647, 0.045962, 
20, 6.832505, 8.976905, 8.149580, 1.968030, -12.998713, 2.700781, 0.037113, 
20, 6.866668, 8.978042, 8.183762, 1.709093, -12.946844, 2.593459, 0.029466, 
20, 6.895843, 8.978807, 8.212947, 1.459258, -12.491741, 22.755153, 0.022967, 
20, 6.920402, 8.979304, 8.237511, 1.228213, -11.552256, 46.974236, 0.017518, 
20, 6.940750, 8.979615, 8.257860, 1.017472, -10.537062, 50.759690, 0.013019, 
20, 6.957286, 8.979800, 8.274398, 0.826871, -9.530025, 50.351853, 0.009373, 
20, 6.970411, 8.979904, 8.287523, 0.656270, -8.530033, 49.999618, 0.006486, 
20, 6.980522, 8.979958, 8.297634, 0.505552, -7.535915, 49.705887, 0.004266, 
20, 6.988014, 8.979984, 8.305127, 0.374621, -6.546532, 49.469156, 0.002624, 
20, 6.993282, 8.979995, 8.310395, 0.263405, -5.560802, 49.286503, 0.001470, 
20, 6.996719, 8.979999, 8.313832, 0.171850, -4.577762, 49.152004, 0.000718, 
20, 6.998718, 8.980000, 8.315830, 0.099919, -3.596571, 49.059568, 0.000280, 
20, 6.999669, 8.980000, 8.316782, 0.047588, -2.616542, 49.001432, 0.000072, 
20, 6.999966, 8.980000, 8.317079, 0.014845, -1.637144, 48.969885, 0.000007, 
20, 7.000000, 8.980000, 8.317113, 0.001685, -0.658012, 48.956598, 0.000000, 
20, 7.000000, 8.980000, 8.317113, 0.000000, -0.084239, 28.688651, 0.000000, 
