Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 9.221742, 14.188594, 3.885493, 4.062880, -0.154487, 0.002474, 6.155104, 
20, 9.302266, 14.178173, 3.966689, 4.059791, -0.154436, 0.002565, 6.153883, 
20, 9.382717, 14.167665, 4.047823, 4.056704, -0.154383, 0.002627, 6.152726, 
20, 9.463094, 14.157073, 4.128895, 4.053617, -0.154330, 0.002660, 6.151632, 
20, 9.543400, 14.146405, 4.209906, 4.050532, -0.154277, 0.002667, 6.150601, 
20, 9.623633, 14.135665, 4.290855, 4.047447, -0.154224, 0.002648, 6.149632, 
20, 9.703795, 14.124857, 4.371742, 4.044364, -0.154172, 0.002604, 6.148727, 
20, 9.783886, 14.113988, 4.452568, 4.041281, -0.154121, 0.002539, 6.147885, 
20, 9.863908, 14.103063, 4.533332, 4.038200, -0.154072, 0.002453, 6.147105, 
20, 9.943860, 14.092085, 4.614034, 4.035119, -0.154025, 0.002347, 6.146388, 
20, 10.023744, 14.081062, 4.694675, 4.032040, -0.153981, 0.002223, 6.145734, 
20, 10.103560, 14.069997, 4.775254, 4.028961, -0.153939, 0.002083, 6.145143, 
20, 10.183309, 14.058896, 4.855772, 4.025883, -0.153900, 0.001927, 6.144615, 
20, 10.262991, 14.047764, 4.936228, 4.022806, -0.153865, 0.001758, 6.144150, 
20, 10.342607, 14.036606, 5.016622, 4.019729, -0.153834, 0.001577, 6.143747, 
20, 10.422159, 14.025426, 5.096955, 4.016653, -0.153806, 0.001385, 6.143407, 
20, 10.501646, 14.014231, 5.177227, 4.013577, -0.153782, 0.001184, 6.143130, 
20, 10.581069, 14.003025, 5.257437, 4.010502, -0.153763, 0.000975, 6.142916, 
20, 10.660430, 13.991813, 5.337586, 4.007427, -0.153748, 0.000760, 6.142764, 
20, 10.739728, 13.980600, 5.417673, 4.004352, -0.153737, 0.000540, 6.142675, 
20, 10.818964, 13.969392, 5.497698, 4.001278, -0.153731, 0.000316, 6.142649, 
20, 10.898140, 13.958192, 5.577662, 3.998203, -0.153729, 0.000091, 6.142686, 
20, 10.977256, 13.947006, 5.657565, 3.995128, -0.153731, -0.000135, 6.142786, 
20, 11.056312, 13.935839, 5.737406, 3.992054, -0.153739, -0.000361, 6.142948, 
20, 11.135310, 13.924696, 5.817185, 3.988979, -0.153750, -0.000584, 6.143173, 
20, 11.214249, 13.913582, 5.896904, 3.985903, -0.153766, -0.000803, 6.143460, 
20, 11.293132, 13.902501, 5.976560, 3.982827, -0.153787, -0.001017, 6.143811, 
20, 11.371957, 13.891460, 6.056155, 3.979751, -0.153811, -0.001225, 6.144224, 
20, 11.450726, 13.880461, 6.135689, 3.976674, -0.153840, -0.001425, 6.144700, 
20, 11.529440, 13.869512, 6.215161, 3.973597, -0.153872, -0.001615, 6.145239, 
20, 11.608100, 13.858615, 6.294571, 3.970519, -0.153908, -0.001794, 6.145841, 
20, 11.686705, 13.847777, 6.373920, 3.967440, -0.153947, -0.001961, 6.146505, 
20, 11.765256, 13.837002, 6.453207, 3.964360, -0.153989, -0.002114, 6.147232, 
20, 11.843755, 13.826295, 6.532432, 3.961279, -0.154034, -0.002252, 6.148023, 
20, 11.922201, 13.815660, 6.611596, 3.958198, -0.154082, -0.002373, 6.148876, 
20, 12.000596, 13.805103, 6.690699, 3.955115, -0.154131, -0.002475, 6.149792, 
20, 12.078940, 13.794629, 6.769739, 3.952032, -0.154183, -0.002558, 6.150771, 
20, 12.157233, 13.784242, 6.848718, 3.948947, -0.154235, -0.002620, 6.151813, 
20, 12.235475, 13.773947, 6.927636, 3.945861, -0.154288, -0.002659, 6.152917, 
20, 12.313669, 13.763749, 7.006491, 3.942774, -0.154342, -0.002674, 6.154085, 
20, 12.391813, 13.753653, 7.085285, 3.939686, -0.154395, -0.002663, 6.155316, 
20, 12.469908, 13.743663, 7.164017, 3.936597, -0.154447, -0.002625, 6.156610, 
20, 12.547956, 13.733784, 7.242687, 3.933507, -0.154499, -0.002559, 6.157967, 
20, 12.625956, 13.724022, 7.321295, 3.930416, -0.154548, -0.002462, 6.159387, 
20, 12.703908, 13.714380, 7.399842, 3.927325, -0.154594, -0.002334, 6.160870, 
20, 12.781814, 13.704864, 7.478326, 3.924232, -0.154638, -0.002171, 6.162417, 
20, 12.859673, 13.695478, 7.556749, 3.921138, -0.154677, -0.001975, 6.164026, 
20, 12.937486, 13.686227, 7.635110, 3.918044, -0.154712, -0.001742, 6.165699, 
20, 13.015253, 13.677116, 7.713409, 3.914949, -0.154742, -0.001471, 6.167434, 
20, 13.092974, 13.668150, 7.791646, 3.911854, -0.154765, -0.001162, 6.169233, 
20, 13.170651, 13.659333, 7.869821, 3.908758, -0.154781, -0.000811, 6.171095, 
20, 13.248282, 13.650670, 7.947934, 3.905662, -0.154789, -0.000417, 6.173020, 
20, 13.325869, 13.642166, 8.025986, 3.902567, -0.154789, 0.000019, 6.175009, 
20, 13.403411, 13.633824, 8.103975, 3.899471, -0.154779, 0.000501, 6.177060, 
20, 13.480909, 13.625651, 8.181903, 3.896376, -0.154758, 0.001030, 6.179175, 
20, 13.558362, 13.617651, 8.259768, 3.893281, -0.154726, 0.001607, 6.181353, 
20, 13.635772, 13.609828, 8.337572, 3.890188, -0.154682, 0.002234, 6.183594, 
20, 13.713137, 13.602187, 8.415314, 3.887095, -0.154623, 0.002911, 6.185898, 
20, 13.790459, 13.594733, 8.492994, 3.884004, -0.154551, 0.003641, 6.188266, 
20, 13.867737, 13.587470, 8.570612, 3.880915, -0.154462, 0.004424, 6.190696, 
20, 13.944970, 13.580403, 8.648169, 3.877828, -0.154357, 0.005262, 6.193189, 
20, 14.022161, 13.573536, 8.725664, 3.874743, -0.154234, 0.006157, 6.195745, 
20, 14.099307, 13.566875, 8.803097, 3.871661, -0.154092, 0.007108, 6.198365, 
20, 14.176409, 13.560423, 8.880469, 3.868583, -0.153929, 0.008119, 6.201047, 
20, 14.253467, 13.554185, 8.957779, 3.865508, -0.153745, 0.009189, 6.203791, 
